2024-06-17 16:52:58 - #----------Config info----------#
2024-06-17 16:52:58 - f: <_io.TextIOWrapper name='./parsed_args.txt' mode='r' encoding='UTF-8'>,
2024-06-17 16:52:58 - parsed_args: {'network': 'KANUSeg', 'datasets': '2018DSB'},
2024-06-17 16:52:58 - line: datasets=2018DSB
,
2024-06-17 16:52:58 - key: datasets,
2024-06-17 16:52:58 - value: 2018DSB,
2024-06-17 16:52:58 - network: KANUSeg,
2024-06-17 16:52:58 - datasets: 2018DSB,
2024-06-17 16:52:58 - model_config: {'num_classes': 1, 'input_channels': 3, 'EMBED_DIM': 96, 'depths': [2, 2, 2, 2], 'depths_decoder': [2, 2, 2, 1], 'drop_path_rate': 0.2, 'load_ckpt_path': './pretrained_ckpt/vmamba_small_e238_ema.pth'},
2024-06-17 16:52:58 - data_path: ./data/2018DSB/,
2024-06-17 16:52:58 - criterion: BceDiceLoss(
  (bce): BCELoss(
    (bceloss): BCELoss()
  )
  (dice): DiceLoss()
),
2024-06-17 16:52:58 - pretrained_path: ./pre_trained/,
2024-06-17 16:52:58 - num_classes: 1,
2024-06-17 16:52:58 - input_size_h: 224,
2024-06-17 16:52:58 - input_size_w: 224,
2024-06-17 16:52:58 - input_channels: 3,
2024-06-17 16:52:58 - distributed: False,
2024-06-17 16:52:58 - local_rank: -1,
2024-06-17 16:52:58 - num_workers: 0,
2024-06-17 16:52:58 - seed: 42,
2024-06-17 16:52:58 - world_size: None,
2024-06-17 16:52:58 - rank: None,
2024-06-17 16:52:58 - amp: False,
2024-06-17 16:52:58 - gpu_id: 0,
2024-06-17 16:52:58 - batch_size: 1,
2024-06-17 16:52:58 - epochs: 300,
2024-06-17 16:52:58 - work_dir: output/KANUSeg_2018DSB_/,
2024-06-17 16:52:58 - print_interval: 20,
2024-06-17 16:52:58 - val_interval: 30,
2024-06-17 16:52:58 - save_interval: 10,
2024-06-17 16:52:58 - threshold: 0.5,
2024-06-17 16:52:58 - train_transformer: Compose(
    <utils.myNormalize object at 0x73e7914cc4d0>
    <utils.myToTensor object at 0x73e7914cc6d0>
    <utils.myRandomHorizontalFlip object at 0x73e791279390>
    <utils.myRandomVerticalFlip object at 0x73e791279350>
    <utils.myRandomRotation object at 0x73e791279410>
    <utils.myResize object at 0x73e791279450>
),
2024-06-17 16:52:58 - test_transformer: Compose(
    <utils.myNormalize object at 0x73e7912794d0>
    <utils.myToTensor object at 0x73e791279510>
    <utils.myResize object at 0x73e791279550>
),
2024-06-17 16:52:58 - opt: AdamW,
2024-06-17 16:52:58 - lr: 0.001,
2024-06-17 16:52:58 - betas: (0.9, 0.999),
2024-06-17 16:52:58 - eps: 1e-08,
2024-06-17 16:52:58 - weight_decay: 0.01,
2024-06-17 16:52:58 - amsgrad: False,
2024-06-17 16:52:58 - sch: CosineAnnealingLR,
2024-06-17 16:52:58 - T_max: 50,
2024-06-17 16:52:58 - eta_min: 1e-05,
2024-06-17 16:52:58 - last_epoch: -1,
2024-06-17 16:52:59 - flops: 0.185450496, params: 0.132081, Total params: : 7.9930
2024-06-17 16:53:00 - train: epoch 1, iter:0, loss: 1.4054, lr: 0.001
2024-06-17 16:53:07 - train: epoch 1, iter:20, loss: 1.3318, lr: 0.001
2024-06-17 16:53:14 - train: epoch 1, iter:40, loss: 1.0870, lr: 0.001
2024-06-17 16:53:21 - train: epoch 1, iter:60, loss: 0.9724, lr: 0.001
2024-06-17 16:53:27 - train: epoch 1, iter:80, loss: 0.8881, lr: 0.001
2024-06-17 16:53:34 - train: epoch 1, iter:100, loss: 0.7908, lr: 0.001
2024-06-17 16:53:41 - train: epoch 1, iter:120, loss: 0.7148, lr: 0.001
2024-06-17 16:53:48 - train: epoch 1, iter:140, loss: 0.6419, lr: 0.001
2024-06-17 16:53:55 - train: epoch 1, iter:160, loss: 0.5989, lr: 0.001
2024-06-17 16:54:02 - train: epoch 1, iter:180, loss: 0.5733, lr: 0.001
2024-06-17 16:54:08 - train: epoch 1, iter:200, loss: 0.5590, lr: 0.001
2024-06-17 16:54:15 - train: epoch 1, iter:220, loss: 0.5340, lr: 0.001
2024-06-17 16:54:22 - train: epoch 1, iter:240, loss: 0.5129, lr: 0.001
2024-06-17 16:54:29 - train: epoch 1, iter:260, loss: 0.5006, lr: 0.001
2024-06-17 16:54:36 - train: epoch 1, iter:280, loss: 0.4865, lr: 0.001
2024-06-17 16:54:43 - train: epoch 1, iter:300, loss: 0.4712, lr: 0.001
2024-06-17 16:54:50 - train: epoch 1, iter:320, loss: 0.4629, lr: 0.001
2024-06-17 16:54:57 - train: epoch 1, iter:340, loss: 0.4537, lr: 0.001
2024-06-17 16:55:04 - train: epoch 1, iter:360, loss: 0.4437, lr: 0.001
2024-06-17 16:55:10 - train: epoch 1, iter:380, loss: 0.4382, lr: 0.001
2024-06-17 16:55:17 - train: epoch 1, iter:400, loss: 0.4255, lr: 0.001
2024-06-17 16:55:24 - train: epoch 1, iter:420, loss: 0.4208, lr: 0.001
2024-06-17 16:55:31 - train: epoch 1, iter:440, loss: 0.4133, lr: 0.001
2024-06-17 16:55:38 - train: epoch 1, iter:460, loss: 0.4051, lr: 0.001
2024-06-17 16:55:45 - train: epoch 1, iter:480, loss: 0.3974, lr: 0.001
2024-06-17 16:55:52 - train: epoch 1, iter:500, loss: 0.3935, lr: 0.001
2024-06-17 16:55:58 - train: epoch 1, iter:520, loss: 0.3903, lr: 0.001
2024-06-17 16:56:11 - val epoch: 1, loss: 2.2040, miou: 0.172014013389903, f1_or_dsc: 0.2935357622429345, accuracy: 0.787476441136156,                 specificity: 0.8611285805506957, sensitivity: 0.32274260218004386
2024-06-17 16:56:12 - train: epoch 2, iter:0, loss: 0.4147, lr: 0.0009990232305719944
2024-06-17 16:56:19 - train: epoch 2, iter:20, loss: 0.3122, lr: 0.0009990232305719944
2024-06-17 16:56:26 - train: epoch 2, iter:40, loss: 0.3275, lr: 0.0009990232305719944
2024-06-17 16:56:33 - train: epoch 2, iter:60, loss: 0.3210, lr: 0.0009990232305719944
